2
virus;1.5;1.2;1.5;0.5
3;False;0;False;[];7;0;[];[dia: 0, infectados: 1, muertos: 0, dia: 1, nuevos infectados: 0, nuevos muertos: 0, dia: 2, nuevos infectados: 7, nuevos muertos: 0]
South Korea;54920740;0;0;[North Korea];South Korea:True:[Argentina, Australia, Austria, Canada, Costa Rica, Egypt, France, Germany, Greece, Israel, Italy, Netherlands, Norway, Nepal, Saudi Arabia, Sweden, South Africa, Denmark, China, Portugal, Iran, Kenya, Colombia, Brazil, Russia, Spain, Libya, Chile, Turkey, Thailand, Uruguay, United Arab Emirates];False;True;False;0
Nepal;387795288;0;0;[China, India];Nepal:True:[Argentina, Australia, Brazil, China, Croatia, Costa Rica, Colombia, Chile, Egypt, France, Italy, Iran, New Zealand, Canada, Libya, Kenya, Spain, Portugal, United Arab Emirates, United States, Mexico, Japan, South Korea, Germany, Hong Kong, Thailand, Sweden, Switzerland, South Africa, Turkey, Uruguay];False;True;False;0
Mexico;217130418;0;0;[United States];Mexico:True:[Brazil, China, Croatia, Denmark, Egypt, France, Israel, India, Iran, Kenya, Libya, Costa Rica, Qatar, Colombia, Turkey, Saudi Arabia, Greece, Canada, Portugal, Japan, New Zealand, Netherlands, Nepal, Russia, South Africa, Uruguay, United States, United Arab Emirates];False;True;False;0
Netherlands;260064666;0;0;[Germany];Netherlands:True:[Chile, Egypt, France, Germany, Japan, Saudi Arabia, New Zealand, Argentina, Austria, Kenya, Uruguay, Costa Rica, Denmark, Brazil, Norway, Mexico, Hong Kong, Switzerland, South Korea, Russia, South Africa, Qatar, Thailand, United Kingdom, United States];False;True;False;0
New Zealand;90739853;0;0;[];New Zealand:True:[Argentina, China, Croatia, Costa Rica, Colombia, Chile, Egypt, Hong Kong, Italy, Iran, Japan, Libya, Mexico, Netherlands, Norway, Austria, Spain, Saudi Arabia, Canada, Denmark, Nepal, Qatar, France, Germany, Sweden, United Kingdom, Brazil, United Arab Emirates, Portugal];False;True;False;0
Norway;399477916;0;0;[Sweden, Finland, Russia];Norway:True:[Austria, Croatia, Canada, Costa Rica, Colombia, Chile, Denmark, Egypt, India, Iran, Japan, Kenya, Libya, Netherlands, Spain, Germany, South Korea, Russia, Saudi Arabia, Sweden, Australia, United Kingdom, Greece, New Zealand, United States, China, Portugal, Qatar, Turkey, Thailand];False;True;False;0
Portugal;293393224;0;0;[Spain];Portugal:True:[Australia, Austria, Brazil, Denmark, Egypt, Germany, Italy, India, Libya, Mexico, Nepal, Greece, New Zealand, Spain, Kenya, Hong Kong, Russia, Sweden, South Africa, Chile, Norway, United Arab Emirates, France, Thailand, Switzerland, South Korea, Turkey, United States];False;True;False;0
Qatar;301523407;0;0;[Saudi Arabia];Qatar:True:[Argentina, Brazil, Canada, Costa Rica, Colombia, Germany, Hong Kong, India, Japan, Libya, Mexico, New Zealand, Switzerland, Spain, Saudi Arabia, United Kingdom, Austria, Norway, Netherlands, China, Denmark, Thailand, Greece, Chile, Italy, Russia, Sweden, United Arab Emirates];False;True;False;0
Russia;110898688;0;0;[Norway, North Korea, Finland, China];Russia:True:[Argentina, Canada, Colombia, Denmark, Egypt, France, Greece, Hong Kong, Israel, Italy, Netherlands, Norway, Portugal, Turkey, China, Thailand, Chile, Mexico, Sweden, Costa Rica, Germany, Qatar, United States, Kenya, Libya, Saudi Arabia, Switzerland, Spain, South Korea, United Arab Emirates];False;True;False;0
Saudi Arabia;315230822;0;0;[Qatar, United Arab Emirates];Saudi Arabia:True:[Austria, Canada, Costa Rica, Colombia, Greece, Hong Kong, Italy, India, Japan, Kenya, Mexico, Netherlands, Norway, New Zealand, Qatar, Brazil, Libya, Russia, Chile, Denmark, Thailand, Egypt, France, China, Argentina, South Korea, United States, Sweden, South Africa];False;True;False;0
South Africa;200267106;0;0;[];South Africa:True:[Argentina, Australia, Croatia, Chile, France, Germany, Greece, Hong Kong, Israel, India, Iran, Netherlands, Portugal, Switzerland, Mexico, Turkey, United Arab Emirates, South Korea, Spain, Austria, Nepal, United States, Saudi Arabia, Kenya, United Kingdom, Libya, Thailand, Uruguay];False;True;False;0
Spain;251710342;0;0;[France, Portugal];Spain:True:[Argentina, Austria, China, Germany, Israel, Iran, Libya, Norway, New Zealand, Nepal, Portugal, Qatar, Australia, United Kingdom, Russia, Japan, Canada, United States, Kenya, Hong Kong, Costa Rica, Uruguay, India, Colombia, Greece, South Africa, South Korea, Turkey, United Arab Emirates];False;True;False;0
Sweden;204679134;0;0;[Norway, Finland];Sweden:True:[Australia, China, Canada, Colombia, Chile, Denmark, Greece, Hong Kong, Italy, Iran, Norway, New Zealand, Portugal, Russia, Egypt, Thailand, Brazil, India, South Korea, Japan, Costa Rica, Qatar, Nepal, Kenya, Saudi Arabia, Croatia, Switzerland, Turkey, United States];False;True;False;0
Switzerland;239930504;0;0;[Austria, France, Germany, Italy];Switzerland:True:[Austria, Brazil, Croatia, Colombia, Egypt, Germany, Iran, Japan, Netherlands, Qatar, Nepal, United Kingdom, Russia, Argentina, Thailand, Portugal, Sweden, France, South Africa, India, Chile, China, Uruguay, Turkey];False;True;False;0
Thailand;171371367;0;0;[];Thailand:True:[Croatia, Denmark, Egypt, Germany, Greece, Hong Kong, Israel, Kenya, Libya, Nepal, Portugal, Qatar, Russia, Saudi Arabia, Sweden, Switzerland, United Kingdom, South Korea, South Africa, China, Uruguay, Costa Rica, Turkey, Norway, Chile, Argentina, Austria, Iran, Brazil, Netherlands];False;True;False;0
Turkey;370986887;0;0;[Greece, Iran];Turkey:True:[Austria, Canada, Colombia, Denmark, Greece, Italy, India, Iran, Libya, Mexico, Russia, Switzerland, South Africa, South Korea, Costa Rica, Sweden, United Kingdom, China, Germany, Uruguay, Nepal, Australia, Norway, Israel, Spain, Kenya, Portugal, Brazil, Argentina, Thailand, United States];False;True;False;0
United Arab Emirates;179601479;0;0;[Saudi Arabia];United Arab Emirates:True:[Argentina, Austria, China, Canada, Chile, France, Hong Kong, Italy, India, Japan, Kenya, New Zealand, Nepal, Portugal, South Africa, United Kingdom, Iran, Colombia, Spain, United States, Croatia, Russia, Germany, South Korea, Qatar, Costa Rica, Mexico, Libya];False;True;False;0
United Kingdom;385958927;0;0;[];United Kingdom:True:[Argentina, Brazil, Croatia, Canada, Colombia, Egypt, France, Italy, India, Iran, Japan, Libya, Norway, New Zealand, Qatar, Switzerland, Spain, South Africa, Turkey, Thailand, Uruguay, Netherlands, China, Israel, Chile, Hong Kong, United Arab Emirates, Germany, Costa Rica, United States];False;True;False;0
United States;61212350;0;0;[Canada, Mexico];United States:True:[Brazil, Chile, Denmark, France, Greece, Hong Kong, Israel, India, Iran, Libya, Norway, Nepal, Russia, Saudi Arabia, Spain, South Africa, Mexico, Portugal, United Kingdom, Netherlands, Argentina, Costa Rica, Sweden, Uruguay, Japan, Turkey, Australia, United Arab Emirates];False;True;False;0
Uruguay;316065653;0;0;[Brazil, Argentina];Uruguay:True:[Argentina, Austria, Croatia, Canada, Egypt, France, Hong Kong, Israel, Italy, Kenya, Netherlands, Switzerland, Spain, Turkey, Thailand, Germany, Mexico, Costa Rica, South Africa, India, South Korea, Colombia, Nepal, Libya, United Kingdom, Japan, Brazil, United States];False;True;False;0
